date,ticker,close,source
2026-07-20,^VIX3M,20.4,tradingview CBOE:VIX3M 2026-08-17
2026-07-21,^VIX3M,19.59,tradingview CBOE:VIX3M 2026-08-17
2026-07-22,^VIX3M,19.54,tradingview CBOE:VIX3M 2026-08-17
2026-07-23,^VIX3M,20.6,tradingview CBOE:VIX3M 2026-08-17
2026-07-24,^VIX3M,20.51,tradingview CBOE:VIX3M 2026-08-17
2026-07-27,^VIX3M,20.2,tradingview CBOE:VIX3M 2026-08-17
2026-07-28,^VIX3M,19.86,tradingview CBOE:VIX3M 2026-08-17
2026-07-29,^VIX3M,21.5,tradingview CBOE:VIX3M 2026-08-17
2026-07-30,^VIX3M,19.5,tradingview CBOE:VIX3M 2026-08-17
2026-07-31,^VIX3M,19.02,tradingview CBOE:VIX3M 2026-08-17
2026-08-03,^VIX3M,18.93,tradingview CBOE:VIX3M 2026-08-17
2026-08-04,^VIX3M,19.34,tradingview CBOE:VIX3M 2026-08-17
2026-08-05,^VIX3M,18.95,tradingview CBOE:VIX3M 2026-08-17
2026-08-06,^VIX3M,18.69,tradingview CBOE:VIX3M 2026-08-17
2026-08-07,^VIX3M,18.72,tradingview CBOE:VIX3M 2026-08-17
2026-08-10,^VIX3M,18.98,tradingview CBOE:VIX3M 2026-08-17
2026-08-11,^VIX3M,18.91,tradingview CBOE:VIX3M 2026-08-17
2026-08-12,^VIX3M,18.53,tradingview CBOE:VIX3M 2026-08-17
2026-08-13,^VIX3M,18.61,tradingview CBOE:VIX3M 2026-08-17
2026-08-14,^VIX3M,18.46,tradingview CBOE:VIX3M 2026-08-17
2026-08-17,^VIX3M,19.04,ibkr CBOE:VIX3M 2026-08-31
2026-08-18,^VIX3M,19.27,ibkr CBOE:VIX3M 2026-08-31
2026-08-19,^VIX3M,18.57,ibkr CBOE:VIX3M 2026-08-31
2026-08-20,^VIX3M,19.06,ibkr CBOE:VIX3M 2026-08-31
2026-08-21,^VIX3M,18.5,ibkr CBOE:VIX3M 2026-08-31
2026-08-24,^VIX3M,18.56,ibkr CBOE:VIX3M 2026-08-31
2026-08-25,^VIX3M,18.21,ibkr CBOE:VIX3M 2026-08-31
2026-08-26,^VIX3M,17.99,ibkr CBOE:VIX3M 2026-08-31
2026-08-27,^VIX3M,17.56,ibkr CBOE:VIX3M 2026-08-31
2026-08-28,^VIX3M,17.48,ibkr CBOE:VIX3M 2026-08-31
2026-08-17,^GSPC,7745.06,fmp historical-price-eod-light 2026-08-18
2026-08-17,SPY,772.67,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,RSP,220.79,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,XLP,84.68,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,XLU,44.18,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,XLY,116.75,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,HYG,79.61,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,LQD,105.70,alphavantage TIME_SERIES_DAILY 2026-08-18
2026-08-17,TLT,81.35,alphavantage TIME_SERIES_DAILY 2026-08-18
